animal_id,found_location
A706918,9409 Bluegrass Dr in Austin (TX)
A724273,2818 Palomino Trail in Austin (TX)
A665644,Austin (TX)
A682524,800 Grove Blvd in Austin (TX)
A743852,Austin (TX)
A708452,Austin (TX)
A731435,Austin (TX)
A760053,8800 South First Street in Austin (TX)
A707375,Galilee Court And Damita Jo Dr in Manor (TX)
A696408,9705 Thaxton in Austin (TX)
A743114,208 Beaver St in Austin (TX)
A657188,Austin (TX)
A707658,6118 Fairway in Austin (TX)
A736287,South First And Stassney in Austin (TX)
A697950,1501 S Fm 973 in Austin (TX)
A298074,1801 Westridge in Austin (TX)
A707974,2307 Ventura in Austin (TX)
A682230,3737 Keats Dr in Austin (TX)
A749436,East Pleasant Valley And Stassney in Austin (TX)
A722979,4100 Westbank Dr in Austin (TX)
A696205,Austin (TX)
A759935,4800 Cottonwood St in Austin (TX)
A666877,Guadalupe/St. Johns in Austin (TX)
A706507,5306  Peppertree in Austin (TX)
A732903,Austin (TX)
A749400,1834 Ferguson in Austin (TX)
A727838,2504 Huntwick Dr in Austin (TX)
A701811,4434 Frontier Trl in Austin (TX)
A700396,4200 Smith School Rd in Austin (TX)
A724378,Austin (TX)
A702701,Mcneil Drive & Burnet Road in Austin (TX)
A759995,1709 East 38Th Street in Austin (TX)
A702931,Austin (TX)
A745133,11699 James B Connolly Ln in Austin (TX)
A747817,1328 Lamar Square Dr in Austin (TX)
A736501,Austin (TX)
A755102,18120 River Timber Drive in Travis (TX)
A699608,1054 Springdale Rd #108 in Austin (TX)
A714578,8220 W Hwy 71 in Austin (TX)
A721791,12928 Ceder in Travis (TX)
A754145,502 Chihuahua Trl in Austin (TX)
A713887,5055 Hwy 71 E in Del Valle (TX)
A678059,1104 Durham Dr in Austin (TX)
A758165,Austin (TX)
A675555,Loyola And Sandshof in Austin (TX)
A747964,15207 Tacon Ln in Pflugerville (TX)
A678830,8515 S Ih 35 in Austin (TX)
A698165,201 San Jacinto Blvd in Austin (TX)
A704806,5801 W Us Hwy 290 Service Rd in Austin (TX)
A696174,Austin (TX)
A740284,25212 Lakeview Dr in Travis (TX)
A767767,11204 Liberty Farms Drive in Austin (TX)
A749544,5400 Freidrich Ln in Austin (TX)
A733559,7001 South Congress Avenue in Austin (TX)
A722856,Austin (TX)
A689054,Austin (TX)
A710890,14901 Mossycup Ln in Travis (TX)
A683884,7619 E Ben White Blvd in Austin (TX)
A714487,Loyola And Sendero Hills in Austin (TX)
A678965,Melwood Dr & Tiner Trail in Austin (TX)
A724359,Research And Anderson Square in Austin (TX)
A668295,Shreveport Dr And Odie Ln in Austin (TX)
A676263,Elfen Way in Austin (TX)
A678439,W. 8Th St. in Austin (TX)
A719013,1105 Wayside Dr in Austin (TX)
