intake_year,animal_type,breed,count
2013,Cat,Domestic Shorthair Mix,960
2013,Cat,Domestic Medium Hair Mix,141
2013,Cat,Domestic Longhair Mix,73
2013,Cat,Siamese Mix,49
2013,Cat,Domestic Shorthair,20
2013,Cat,Siamese/Domestic Shorthair,11
2013,Cat,Snowshoe Mix,8
2013,Cat,Maine Coon Mix,7
2013,Cat,Manx Mix,6
2013,Cat,Russian Blue Mix,5
2013,Cat,Domestic Medium Hair,4
2013,Cat,Domestic Longhair,3
2013,Cat,Himalayan Mix,3
2013,Cat,Bengal Mix,2
2013,Cat,Ragdoll Mix,2
2013,Cat,Abyssinian Mix,2
2013,Cat,Persian Mix,2
2013,Cat,Bombay Mix,1
2013,Cat,British Shorthair Mix,1
2013,Cat,Balinese Mix,1
2013,Cat,American Shorthair Mix,1
2013,Cat,Siamese,1
2013,Cat,Manx/Domestic Shorthair,1
2013,Cat,Burmese,1
2013,Cat,Bengal,1
2013,Cat,Tonkinese Mix,1
2013,Cat,Exotic Shorthair Mix,1
2013,Cat,Domestic Longhair/Persian,1
2013,Dog,Pit Bull Mix,311
2013,Dog,Chihuahua Shorthair Mix,279
2013,Dog,Labrador Retriever Mix,247
2013,Dog,German Shepherd Mix,98
2013,Dog,Australian Cattle Dog Mix,70
2013,Dog,Dachshund Mix,55
2013,Dog,Australian Shepherd Mix,47
2013,Dog,Miniature Poodle Mix,43
2013,Dog,Border Collie Mix,37
2013,Dog,Boxer Mix,30
2013,Dog,Rat Terrier Mix,29
2013,Dog,Jack Russell Terrier Mix,25
2013,Dog,Catahoula Mix,24
2013,Dog,American Bulldog Mix,23
2013,Dog,Chihuahua Longhair Mix,21
2013,Dog,Chihuahua Shorthair,21
2013,Dog,Australian Kelpie Mix,20
2013,Dog,Cairn Terrier Mix,20
2013,Dog,Dachshund/Chihuahua Shorthair,20
2013,Dog,Border Collie/Labrador Retriever,19
2013,Dog,Beagle Mix,19
2013,Dog,Rottweiler Mix,18
2013,Dog,Labrador Retriever/German Shepherd,18
2013,Dog,Pit Bull,17
2013,Dog,American Pit Bull Terrier Mix,17
2013,Dog,American Staffordshire Terrier Mix,17
2013,Dog,Siberian Husky Mix,17
2013,Dog,Labrador Retriever/Pit Bull,17
2013,Dog,Miniature Schnauzer Mix,17
2013,Dog,Pointer Mix,15
2013,Dog,Staffordshire Mix,15
2013,Dog,Anatol Shepherd Mix,15
2013,Dog,Labrador Retriever,15
2013,Dog,Yorkshire Terrier Mix,14
2013,Dog,Black Mouth Cur Mix,14
2013,Dog,German Shepherd/Labrador Retriever,13
2013,Dog,Chinese Sharpei Mix,12
2013,Dog,Beagle/Chihuahua Shorthair,12
2013,Dog,Doberman Pinsch Mix,12
2013,Dog,Pit Bull/Labrador Retriever,12
2013,Dog,German Shepherd,11
2013,Dog,Chihuahua Shorthair/Dachshund,11
2013,Dog,Queensland Heeler Mix,10
2013,Dog,Shih Tzu Mix,10
2013,Dog,Cardigan Welsh Corgi Mix,10
2013,Dog,Plott Hound Mix,10
2013,Dog,Jack Russell Terrier,10
2013,Dog,Maltese Mix,9
2013,Dog,Miniature Pinscher Mix,9
2013,Dog,Border Terrier Mix,9
2013,Dog,Miniature Schnauzer/Miniature Poodle,9
2013,Dog,Great Pyrenees Mix,9
2013,Dog,Basset Hound Mix,8
2013,Dog,Pug Mix,8
2013,Dog,Pit Bull/Boxer,8
2013,Dog,Chow Chow Mix,8
2013,Dog,Cocker Spaniel Mix,8
2013,Dog,German Shepherd/Mastiff,8
2013,Dog,Flat Coat Retriever Mix,7
2013,Dog,Australian Cattle Dog,7
2013,Dog,Miniature Poodle,7
2013,Dog,Belgian Malinois Mix,7
2013,Dog,Boxer/Pit Bull,7
2013,Dog,Boston Terrier Mix,7
2013,Dog,Golden Retriever Mix,7
2013,Dog,Mastiff Mix,6
2013,Dog,Labrador Retriever/Border Collie,6
2013,Dog,Black/Tan Hound Mix,6
2013,Dog,Chihuahua Shorthair/Rat Terrier,6
2013,Dog,Lhasa Apso Mix,6
2013,Dog,Cocker Spaniel,6
2013,Dog,Norfolk Terrier Mix,6
2013,Dog,Dachshund,6
2013,Dog,Leonberger Mix,6
2013,Dog,Parson Russell Terrier Mix,5
2013,Dog,Shih Tzu,5
